kode,string
5171,Kode komponen I-22 berkontribusi sebesar 14787386.865929 rupiah terhadap PDRB Provinsi Jawa Timur
5172,Kode komponen I-23 berkontribusi sebesar 23959168.725512 rupiah terhadap PDRB Provinsi Jawa Timur
5173,Kode komponen I-24 berkontribusi sebesar 1631289.431663 rupiah terhadap PDRB Provinsi Jawa Timur
5174,Kode komponen I-25 berkontribusi sebesar 12185513.214170 rupiah terhadap PDRB Provinsi Jawa Timur
5175,Kode komponen I-26 berkontribusi sebesar 16269599.097178 rupiah terhadap PDRB Provinsi Jawa Timur
5176,Kode komponen I-27 berkontribusi sebesar 8913938.140959 rupiah terhadap PDRB Provinsi Jawa Timur
5177,Kode komponen I-28 berkontribusi sebesar 9443665.787482 rupiah terhadap PDRB Provinsi Jawa Timur
5178,Kode komponen I-29 berkontribusi sebesar 3567738.483258 rupiah terhadap PDRB Provinsi Jawa Timur
5179,Kode komponen I-30 berkontribusi sebesar 1914756.446740 rupiah terhadap PDRB Provinsi Jawa Timur
5180,Kode komponen I-31 berkontribusi sebesar 196365962.681278 rupiah terhadap PDRB Provinsi Jawa Timur
5181,Kode komponen I-32 berkontribusi sebesar 59945557.896570 rupiah terhadap PDRB Provinsi Jawa Timur
5182,Kode komponen I-33 berkontribusi sebesar 217832513.519256 rupiah terhadap PDRB Provinsi Jawa Timur
5183,Kode komponen I-34 berkontribusi sebesar 694742.432424 rupiah terhadap PDRB Provinsi Jawa Timur
5184,Kode komponen I-35 berkontribusi sebesar 25286879.946718 rupiah terhadap PDRB Provinsi Jawa Timur
5185,Kode komponen I-36 berkontribusi sebesar 4909951.448789 rupiah terhadap PDRB Provinsi Jawa Timur
5186,Kode komponen I-37 berkontribusi sebesar 1155704.020346 rupiah terhadap PDRB Provinsi Jawa Timur
5187,Kode komponen I-38 berkontribusi sebesar 20105515.231784 rupiah terhadap PDRB Provinsi Jawa Timur
5188,Kode komponen I-39 berkontribusi sebesar 18703173.504162 rupiah terhadap PDRB Provinsi Jawa Timur
5189,Kode komponen I-40 berkontribusi sebesar 10336194.799171 rupiah terhadap PDRB Provinsi Jawa Timur
5190,Kode komponen I-41 berkontribusi sebesar 66495380.012907 rupiah terhadap PDRB Provinsi Jawa Timur
5191,Kode komponen I-42 berkontribusi sebesar 71655479.372096 rupiah terhadap PDRB Provinsi Jawa Timur
5192,Kode komponen I-43 berkontribusi sebesar 41568867.361260 rupiah terhadap PDRB Provinsi Jawa Timur
5193,Kode komponen I-44 berkontribusi sebesar 11810775.846361 rupiah terhadap PDRB Provinsi Jawa Timur
5194,Kode komponen I-45 berkontribusi sebesar 5381938.128544 rupiah terhadap PDRB Provinsi Jawa Timur
5195,Kode komponen I-46 berkontribusi sebesar 1484455.627611 rupiah terhadap PDRB Provinsi Jawa Timur
5196,Kode komponen I-47 berkontribusi sebesar 76185915.079559 rupiah terhadap PDRB Provinsi Jawa Timur
5197,Kode komponen I-48 berkontribusi sebesar 33010402.423176 rupiah terhadap PDRB Provinsi Jawa Timur
5198,Kode komponen I-49 berkontribusi sebesar 40460825.987725 rupiah terhadap PDRB Provinsi Jawa Timur
5199,Kode komponen I-50 berkontribusi sebesar 50985188.211382 rupiah terhadap PDRB Provinsi Jawa Timur
5200,Kode komponen I-51 berkontribusi sebesar 21271238.272876 rupiah terhadap PDRB Provinsi Jawa Timur
5201,Kode komponen I-52 berkontribusi sebesar 46918947.871957 rupiah terhadap PDRB Provinsi Jawa Timur
5202,Kode komponen 2010 berkontribusi sebesar 44701655.295633 rupiah terhadap PDRB Provinsi Kalimantan Barat
5203,Kode komponen 2020 berkontribusi sebesar 83344470.487447 rupiah terhadap PDRB Provinsi Kalimantan Barat
5204,Kode komponen 2045 berkontribusi sebesar 3055085.606383 rupiah terhadap PDRB Provinsi Kalimantan Barat
5205,Kode komponen 3011 berkontribusi sebesar 90111311.776937 rupiah terhadap PDRB Provinsi Kalimantan Barat
5206,Kode komponen 3012 berkontribusi sebesar 1764863.242614 rupiah terhadap PDRB Provinsi Kalimantan Barat
5207,Kode komponen 3020 berkontribusi sebesar 20398929.583697 rupiah terhadap PDRB Provinsi Kalimantan Barat
5208,Kode komponen 3030 berkontribusi sebesar 65753481.402967 rupiah terhadap PDRB Provinsi Kalimantan Barat
5209,Kode komponen 3041 berkontribusi sebesar 139769.577713 rupiah terhadap PDRB Provinsi Kalimantan Barat
5210,Kode komponen I-01 berkontribusi sebesar 2267285.757809 rupiah terhadap PDRB Provinsi Kalimantan Barat
5211,Kode komponen I-02 berkontribusi sebesar 2040476.432364 rupiah terhadap PDRB Provinsi Kalimantan Barat
5212,Kode komponen I-03 berkontribusi sebesar 16853857.571123 rupiah terhadap PDRB Provinsi Kalimantan Barat
5213,Kode komponen I-04 berkontribusi sebesar 4022268.990235 rupiah terhadap PDRB Provinsi Kalimantan Barat
5214,Kode komponen I-05 berkontribusi sebesar 450022.200815 rupiah terhadap PDRB Provinsi Kalimantan Barat
5215,Kode komponen I-06 berkontribusi sebesar 1727041.564603 rupiah terhadap PDRB Provinsi Kalimantan Barat
5216,Kode komponen I-07 berkontribusi sebesar 3525468.834144 rupiah terhadap PDRB Provinsi Kalimantan Barat
5217,Kode komponen I-08 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kalimantan Barat
5218,Kode komponen I-09 berkontribusi sebesar 5412.970227 rupiah terhadap PDRB Provinsi Kalimantan Barat
5219,Kode komponen I-10 berkontribusi sebesar 1924271.020978 rupiah terhadap PDRB Provinsi Kalimantan Barat
5220,Kode komponen I-11 berkontribusi sebesar 1898061.464195 rupiah terhadap PDRB Provinsi Kalimantan Barat
5221,Kode komponen I-12 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kalimantan Barat
5222,Kode komponen I-13 berkontribusi sebesar 16177125.318748 rupiah terhadap PDRB Provinsi Kalimantan Barat
5223,Kode komponen I-14 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kalimantan Barat
5224,Kode komponen I-15 berkontribusi sebesar 66448.126778 rupiah terhadap PDRB Provinsi Kalimantan Barat
5225,Kode komponen I-16 berkontribusi sebesar 64925.299063 rupiah terhadap PDRB Provinsi Kalimantan Barat
5226,Kode komponen I-17 berkontribusi sebesar 1575393.719697 rupiah terhadap PDRB Provinsi Kalimantan Barat
5227,Kode komponen I-18 berkontribusi sebesar 44146.183436 rupiah terhadap PDRB Provinsi Kalimantan Barat
5228,Kode komponen I-19 berkontribusi sebesar 59402.624403 rupiah terhadap PDRB Provinsi Kalimantan Barat
5229,Kode komponen I-20 berkontribusi sebesar 950203.431187 rupiah terhadap PDRB Provinsi Kalimantan Barat
5230,Kode komponen I-21 berkontribusi sebesar 214583.383361 rupiah terhadap PDRB Provinsi Kalimantan Barat
5231,Kode komponen I-22 berkontribusi sebesar 180617.934863 rupiah terhadap PDRB Provinsi Kalimantan Barat
5232,Kode komponen I-23 berkontribusi sebesar 538399.158655 rupiah terhadap PDRB Provinsi Kalimantan Barat
5233,Kode komponen I-24 berkontribusi sebesar 47579.778773 rupiah terhadap PDRB Provinsi Kalimantan Barat
5234,Kode komponen I-25 berkontribusi sebesar 213035.087374 rupiah terhadap PDRB Provinsi Kalimantan Barat
5235,Kode komponen I-26 berkontribusi sebesar 151975.287012 rupiah terhadap PDRB Provinsi Kalimantan Barat
5236,Kode komponen I-27 berkontribusi sebesar 48009.605833 rupiah terhadap PDRB Provinsi Kalimantan Barat
5237,Kode komponen I-28 berkontribusi sebesar 630440.703774 rupiah terhadap PDRB Provinsi Kalimantan Barat
5238,Kode komponen I-29 berkontribusi sebesar 14401.835779 rupiah terhadap PDRB Provinsi Kalimantan Barat
5239,Kode komponen I-30 berkontribusi sebesar 302304.540331 rupiah terhadap PDRB Provinsi Kalimantan Barat
5240,Kode komponen I-31 berkontribusi sebesar 6798365.633769 rupiah terhadap PDRB Provinsi Kalimantan Barat
5241,Kode komponen I-32 berkontribusi sebesar 5999676.391657 rupiah terhadap PDRB Provinsi Kalimantan Barat
5242,Kode komponen I-33 berkontribusi sebesar 12936005.213134 rupiah terhadap PDRB Provinsi Kalimantan Barat
5243,Kode komponen I-34 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kalimantan Barat
5244,Kode komponen I-35 berkontribusi sebesar 2887269.293809 rupiah terhadap PDRB Provinsi Kalimantan Barat
5245,Kode komponen I-36 berkontribusi sebesar 297280.289817 rupiah terhadap PDRB Provinsi Kalimantan Barat
5246,Kode komponen I-37 berkontribusi sebesar 726801.377527 rupiah terhadap PDRB Provinsi Kalimantan Barat
5247,Kode komponen I-38 berkontribusi sebesar 3389586.453676 rupiah terhadap PDRB Provinsi Kalimantan Barat
5248,Kode komponen I-39 berkontribusi sebesar 801733.247179 rupiah terhadap PDRB Provinsi Kalimantan Barat
5249,Kode komponen I-40 berkontribusi sebesar 861909.248856 rupiah terhadap PDRB Provinsi Kalimantan Barat
5250,Kode komponen I-41 berkontribusi sebesar 3829857.336875 rupiah terhadap PDRB Provinsi Kalimantan Barat
5251,Kode komponen I-42 berkontribusi sebesar 5232850.769676 rupiah terhadap PDRB Provinsi Kalimantan Barat
5252,Kode komponen I-43 berkontribusi sebesar 4354834.594517 rupiah terhadap PDRB Provinsi Kalimantan Barat
5253,Kode komponen I-44 berkontribusi sebesar 665910.883750 rupiah terhadap PDRB Provinsi Kalimantan Barat
5254,Kode komponen I-45 berkontribusi sebesar 605172.983317 rupiah terhadap PDRB Provinsi Kalimantan Barat
5255,Kode komponen I-46 berkontribusi sebesar 385445.629192 rupiah terhadap PDRB Provinsi Kalimantan Barat
5256,Kode komponen I-47 berkontribusi sebesar 6349511.730438 rupiah terhadap PDRB Provinsi Kalimantan Barat
5257,Kode komponen I-48 berkontribusi sebesar 1189805.842643 rupiah terhadap PDRB Provinsi Kalimantan Barat
5258,Kode komponen I-49 berkontribusi sebesar 8387814.421051 rupiah terhadap PDRB Provinsi Kalimantan Barat
5259,Kode komponen I-50 berkontribusi sebesar 5363422.612119 rupiah terhadap PDRB Provinsi Kalimantan Barat
5260,Kode komponen I-51 berkontribusi sebesar 1644114.814403 rupiah terhadap PDRB Provinsi Kalimantan Barat
5261,Kode komponen I-52 berkontribusi sebesar 2400683.796499 rupiah terhadap PDRB Provinsi Kalimantan Barat
5262,Kode komponen 2010 berkontribusi sebesar 39167822.545850 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5263,Kode komponen 2020 berkontribusi sebesar 122949183.449700 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5264,Kode komponen 2045 berkontribusi sebesar 1154127.245912 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5265,Kode komponen 3011 berkontribusi sebesar 79166283.930309 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5266,Kode komponen 3012 berkontribusi sebesar 1457414.368432 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5267,Kode komponen 3020 berkontribusi sebesar 19906161.700253 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5268,Kode komponen 3030 berkontribusi sebesar 40724116.657183 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5269,Kode komponen 3041 berkontribusi sebesar 1300894.350509 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5270,Kode komponen I-01 berkontribusi sebesar 6248831.175867 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5271,Kode komponen I-02 berkontribusi sebesar 792407.347073 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5272,Kode komponen I-03 berkontribusi sebesar 6581595.626960 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5273,Kode komponen I-04 berkontribusi sebesar 3799598.040450 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5274,Kode komponen I-05 berkontribusi sebesar 491622.663006 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5275,Kode komponen I-06 berkontribusi sebesar 808044.425173 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5276,Kode komponen I-07 berkontribusi sebesar 6149801.119750 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5277,Kode komponen I-08 berkontribusi sebesar 646837.744893 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5278,Kode komponen I-09 berkontribusi sebesar 40655343.661948 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5279,Kode komponen I-10 berkontribusi sebesar 675757.143331 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5280,Kode komponen I-11 berkontribusi sebesar 987789.220304 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5281,Kode komponen I-12 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5282,Kode komponen I-13 berkontribusi sebesar 10961564.077272 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5283,Kode komponen I-14 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5284,Kode komponen I-15 berkontribusi sebesar 83222.206257 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5285,Kode komponen I-16 berkontribusi sebesar 1987.674152 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5286,Kode komponen I-17 berkontribusi sebesar 2193466.635829 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5287,Kode komponen I-18 berkontribusi sebesar 73113.447912 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5288,Kode komponen I-19 berkontribusi sebesar 377768.783687 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5289,Kode komponen I-20 berkontribusi sebesar 1654802.463509 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5290,Kode komponen I-21 berkontribusi sebesar 1911533.281363 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5291,Kode komponen I-22 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5292,Kode komponen I-23 berkontribusi sebesar 104257.879374 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5293,Kode komponen I-24 berkontribusi sebesar 14887.963670 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5294,Kode komponen I-25 berkontribusi sebesar 160557.551166 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5295,Kode komponen I-26 berkontribusi sebesar 206766.293344 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5296,Kode komponen I-27 berkontribusi sebesar 183067.807894 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5297,Kode komponen I-28 berkontribusi sebesar 691578.742121 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5298,Kode komponen I-29 berkontribusi sebesar 21105.935182 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5299,Kode komponen I-30 berkontribusi sebesar 338816.368190 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5300,Kode komponen I-31 berkontribusi sebesar 10318563.158227 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5301,Kode komponen I-32 berkontribusi sebesar 2516972.794440 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5302,Kode komponen I-33 berkontribusi sebesar 12918734.298060 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5303,Kode komponen I-34 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5304,Kode komponen I-35 berkontribusi sebesar 3307709.709335 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5305,Kode komponen I-36 berkontribusi sebesar 1751710.367344 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5306,Kode komponen I-37 berkontribusi sebesar 415617.950096 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5307,Kode komponen I-38 berkontribusi sebesar 2158906.470812 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5308,Kode komponen I-39 berkontribusi sebesar 1128195.304734 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5309,Kode komponen I-40 berkontribusi sebesar 818427.082869 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5310,Kode komponen I-41 berkontribusi sebesar 3221256.431415 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5311,Kode komponen I-42 berkontribusi sebesar 5571708.755733 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5312,Kode komponen I-43 berkontribusi sebesar 3801170.925046 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5313,Kode komponen I-44 berkontribusi sebesar 696639.131644 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5314,Kode komponen I-45 berkontribusi sebesar 543643.944005 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5315,Kode komponen I-46 berkontribusi sebesar 93104.857144 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5316,Kode komponen I-47 berkontribusi sebesar 5271282.276385 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5317,Kode komponen I-48 berkontribusi sebesar 4096191.267646 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5318,Kode komponen I-49 berkontribusi sebesar 7854345.724671 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5319,Kode komponen I-50 berkontribusi sebesar 5020915.768069 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5320,Kode komponen I-51 berkontribusi sebesar 2168400.466328 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5321,Kode komponen I-52 berkontribusi sebesar 2781511.277781 rupiah terhadap PDRB Provinsi Kalimantan Selatan
5322,Kode komponen 2010 berkontribusi sebesar 42128647.282985 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5323,Kode komponen 2020 berkontribusi sebesar 72753095.346632 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5324,Kode komponen 2045 berkontribusi sebesar 1498613.172827 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5325,Kode komponen 3011 berkontribusi sebesar 59760343.165970 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5326,Kode komponen 3012 berkontribusi sebesar 1511862.583053 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5327,Kode komponen 3020 berkontribusi sebesar 15730443.802745 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5328,Kode komponen 3030 berkontribusi sebesar 48488161.449438 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5329,Kode komponen 3041 berkontribusi sebesar -857798.095343 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5330,Kode komponen I-01 berkontribusi sebesar 2006772.473389 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5331,Kode komponen I-02 berkontribusi sebesar 767298.890480 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5332,Kode komponen I-03 berkontribusi sebesar 18674300.598805 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5333,Kode komponen I-04 berkontribusi sebesar 1305475.949368 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5334,Kode komponen I-05 berkontribusi sebesar 529959.976815 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5335,Kode komponen I-06 berkontribusi sebesar 3474144.437544 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5336,Kode komponen I-07 berkontribusi sebesar 2889470.367284 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5337,Kode komponen I-08 berkontribusi sebesar 282377.715192 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5338,Kode komponen I-09 berkontribusi sebesar 7046473.695155 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5339,Kode komponen I-10 berkontribusi sebesar 1899361.786672 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5340,Kode komponen I-11 berkontribusi sebesar 1128542.243573 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5341,Kode komponen I-12 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5342,Kode komponen I-13 berkontribusi sebesar 17538624.601272 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5343,Kode komponen I-14 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5344,Kode komponen I-15 berkontribusi sebesar 36740.217786 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5345,Kode komponen I-16 berkontribusi sebesar 37397.172439 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5346,Kode komponen I-17 berkontribusi sebesar 605851.219800 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5347,Kode komponen I-18 berkontribusi sebesar 59102.036407 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5348,Kode komponen I-19 berkontribusi sebesar 755013.935834 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5349,Kode komponen I-20 berkontribusi sebesar 733218.812184 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5350,Kode komponen I-21 berkontribusi sebesar 219699.454291 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5351,Kode komponen I-22 berkontribusi sebesar 71763.583823 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5352,Kode komponen I-23 berkontribusi sebesar 190865.241607 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5353,Kode komponen I-24 berkontribusi sebesar 54215.374657 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5354,Kode komponen I-25 berkontribusi sebesar 194603.158251 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5355,Kode komponen I-26 berkontribusi sebesar 203418.490013 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5356,Kode komponen I-27 berkontribusi sebesar 160825.166141 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5357,Kode komponen I-28 berkontribusi sebesar 244636.483554 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5358,Kode komponen I-29 berkontribusi sebesar 4164.293265 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5359,Kode komponen I-30 berkontribusi sebesar 309598.227089 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5360,Kode komponen I-31 berkontribusi sebesar 8374952.203551 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5361,Kode komponen I-32 berkontribusi sebesar 773341.656553 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5362,Kode komponen I-33 berkontribusi sebesar 11152353.562582 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5363,Kode komponen I-34 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5364,Kode komponen I-35 berkontribusi sebesar 4756483.434824 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5365,Kode komponen I-36 berkontribusi sebesar 1394471.210683 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5366,Kode komponen I-37 berkontribusi sebesar 1217228.400652 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5367,Kode komponen I-38 berkontribusi sebesar 1486094.239065 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5368,Kode komponen I-39 berkontribusi sebesar 838214.492681 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5369,Kode komponen I-40 berkontribusi sebesar 392367.443950 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5370,Kode komponen I-41 berkontribusi sebesar 2195656.475300 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5371,Kode komponen I-42 berkontribusi sebesar 2057990.766802 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5372,Kode komponen I-43 berkontribusi sebesar 2143653.142194 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5373,Kode komponen I-44 berkontribusi sebesar 467834.567218 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5374,Kode komponen I-45 berkontribusi sebesar 362441.550896 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5375,Kode komponen I-46 berkontribusi sebesar 18860.655813 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5376,Kode komponen I-47 berkontribusi sebesar 3866570.273947 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5377,Kode komponen I-48 berkontribusi sebesar 831840.242324 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5378,Kode komponen I-49 berkontribusi sebesar 5916574.366848 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5379,Kode komponen I-50 berkontribusi sebesar 4054515.060657 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5380,Kode komponen I-51 berkontribusi sebesar 901718.681654 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5381,Kode komponen I-52 berkontribusi sebesar 1753277.771560 rupiah terhadap PDRB Provinsi Kalimantan Tengah
5382,Kode komponen 2010 berkontribusi sebesar 134532618.785506 rupiah terhadap PDRB Provinsi Kalimantan Timur
5383,Kode komponen 2020 berkontribusi sebesar 333062953.910995 rupiah terhadap PDRB Provinsi Kalimantan Timur
5384,Kode komponen 2045 berkontribusi sebesar 24437626.163763 rupiah terhadap PDRB Provinsi Kalimantan Timur
5385,Kode komponen 3011 berkontribusi sebesar 102257996.787374 rupiah terhadap PDRB Provinsi Kalimantan Timur
5386,Kode komponen 3012 berkontribusi sebesar 2406272.178887 rupiah terhadap PDRB Provinsi Kalimantan Timur
5387,Kode komponen 3020 berkontribusi sebesar 22470620.986544 rupiah terhadap PDRB Provinsi Kalimantan Timur
5388,Kode komponen 3030 berkontribusi sebesar 150009923.224743 rupiah terhadap PDRB Provinsi Kalimantan Timur
5389,Kode komponen 3041 berkontribusi sebesar 407452.404911 rupiah terhadap PDRB Provinsi Kalimantan Timur
5390,Kode komponen I-01 berkontribusi sebesar 962553.616975 rupiah terhadap PDRB Provinsi Kalimantan Timur
5391,Kode komponen I-02 berkontribusi sebesar 1666162.163367 rupiah terhadap PDRB Provinsi Kalimantan Timur
5392,Kode komponen I-03 berkontribusi sebesar 18321637.067443 rupiah terhadap PDRB Provinsi Kalimantan Timur
5393,Kode komponen I-04 berkontribusi sebesar 3861988.711323 rupiah terhadap PDRB Provinsi Kalimantan Timur
5394,Kode komponen I-05 berkontribusi sebesar 274008.228689 rupiah terhadap PDRB Provinsi Kalimantan Timur
5395,Kode komponen I-06 berkontribusi sebesar 7610390.430672 rupiah terhadap PDRB Provinsi Kalimantan Timur
5396,Kode komponen I-07 berkontribusi sebesar 6939145.996325 rupiah terhadap PDRB Provinsi Kalimantan Timur
5397,Kode komponen I-08 berkontribusi sebesar 52959647.651781 rupiah terhadap PDRB Provinsi Kalimantan Timur
5398,Kode komponen I-09 berkontribusi sebesar 143306632.098955 rupiah terhadap PDRB Provinsi Kalimantan Timur
5399,Kode komponen I-10 berkontribusi sebesar 372810.727541 rupiah terhadap PDRB Provinsi Kalimantan Timur
5400,Kode komponen I-11 berkontribusi sebesar 17636059.587093 rupiah terhadap PDRB Provinsi Kalimantan Timur
5401,Kode komponen I-12 berkontribusi sebesar 65964199.346102 rupiah terhadap PDRB Provinsi Kalimantan Timur
5402,Kode komponen I-13 berkontribusi sebesar 7481143.560466 rupiah terhadap PDRB Provinsi Kalimantan Timur
5403,Kode komponen I-14 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kalimantan Timur
5404,Kode komponen I-15 berkontribusi sebesar 55359.997024 rupiah terhadap PDRB Provinsi Kalimantan Timur
5405,Kode komponen I-16 berkontribusi sebesar 37633.430087 rupiah terhadap PDRB Provinsi Kalimantan Timur
5406,Kode komponen I-17 berkontribusi sebesar 2552516.707508 rupiah terhadap PDRB Provinsi Kalimantan Timur
5407,Kode komponen I-18 berkontribusi sebesar 936200.345046 rupiah terhadap PDRB Provinsi Kalimantan Timur
5408,Kode komponen I-19 berkontribusi sebesar 16406380.147488 rupiah terhadap PDRB Provinsi Kalimantan Timur
5409,Kode komponen I-20 berkontribusi sebesar 99797.696813 rupiah terhadap PDRB Provinsi Kalimantan Timur
5410,Kode komponen I-21 berkontribusi sebesar 768445.443671 rupiah terhadap PDRB Provinsi Kalimantan Timur
5411,Kode komponen I-22 berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Kalimantan Timur
5412,Kode komponen I-23 berkontribusi sebesar 582954.227301 rupiah terhadap PDRB Provinsi Kalimantan Timur
